ANNA DE CODORNIU BLANC DE BLANCS RESERVA,1,White& Rose& Sparkling_01,Cava,"CHARDONNAY_0.7/MACABEO, XARELO, PARELLADA_0.3",,,ANNA DE CODORNIU BLANC DE BLANCS RESERVA,Sparkling Wine,NV,0.115,
VETIVER BLANCO / 维迪亚干白葡萄酒,3,White& Rose& Sparkling_03,Rioja,VIURA _1,,,VETIVER BLANCO / 维迪亚干白葡萄酒,White Wine,2013,0.130,
ERESMA,2,White& Rose& Sparkling_02,Rueda,VERDEJO_1,,,ERESMA,White Wine,2014,0.130,
ERESMA FERMENTADO EN BARRICA,4,White& Rose& Sparkling_04,Rueda,VERDEJO_1,,,ERESMA FERMENTADO EN BARRICA,White Wine,2012,0.130,
VIONTA ALBARIÑO 2013维恩达庄园干白葡萄酒 2013,5,White& Rose& Sparkling_05,Rías Baixas下海湾法定产区,Albariño_1,,,"VIONTA ALBARIÑO 2013
 维恩达庄园干白葡萄酒 2013",White Wine,2013,0.131,
Manto Malvasía Volcánica seco,6,White& Rose& Sparkling_06,Lanzarote,Malvasía Volcánica_1,,,Manto Malvasía Volcánica seco,White Wine,2014,0.130,
Dondón Rosado-拉蒙河畔桃红葡萄酒,7,White& Rose& Sparkling_07,Rioja,Tempranillo_/Garnacha tinta,,,Dondón Rosado-拉蒙河畔桃红葡萄酒,Rosado/Rosé/桃红,2014,0.130,
Tamis,2,Ribera del Duero_02,Ribera del Duero,Tempranillo,,,Tamis,Red Wine,2013,0.135,
Vina Spain,1,Test_01,Spain,Tempranillo,,,Vina Spain,White,2011,0.200,10
Finca Reserva,2,Test_02,Mesata,Garnacha,,,Finca Reserva,Red,2000,0.050,4
Marques de Tempranillo,3,Test_03,Ebro,Verdeho,,,Marques de Tempranillo,Sparkling Wine,NV,0.120,15
