"Wine English Name
葡萄酒名称（英文）",,编号,Region,Grape Varieties,,"Wine Chinese Name
葡萄酒名称（中文）","Wine English Name
葡萄酒名称（英文）","Type
类型","Vintage
年份","Alcohol level
酒精度","Residual Sugar Level
甜度（g/L）"
Hawksdrift Chardonnay barrel fermented,6,CH-C,New Zealand>Marlborough,Chardonnay_1,,飞鹰堡白金霞多丽白葡萄酒,Hawksdrift Chardonnay barrel fermented,干白,2012,0.1375,
Giacomo Bologna Braida Asso di Fiori-Langhe Chardonnay,9,CH-C,Italy>Piedmont,Chardonnay_1,,百莱达酒庄梅花幺点葡萄酒,Giacomo Bologna Braida Asso di Fiori-Langhe Chardonnay,干红,2011,0.135,
Bouchard P&F Beaune du Chateau Blanc,5？,CH-FR-,France>Burgundy>Beaune 1er Cru AOC ,,Chardonnay_1,"宝尚父子博恩古堡白, 博恩一级葡萄园AOC",Bouchard P&F Beaune du Chateau Blanc,White Wine,2012,0.135,
DOMAINE PAQUET BOURGOGNE CHARDONNAY 2013 750ml ,1,CH-FR-A,France>Burgundy>Burgundy,Chardonnay_1,,帕克特庄园勃艮第霞多丽白葡萄酒,DOMAINE PAQUET BOURGOGNE CHARDONNAY 2013 750ml ,white,2013,0.13,干型
HENRI MEURGEY BOURGOGNE CHARDONNAY AOC 2010 750ml ,2,CH-FR-A,France>Burgundy>Burgundy,Chardonnay_1,,亨利默杰勃艮第霞多丽白葡萄酒,HENRI MEURGEY BOURGOGNE CHARDONNAY AOC 2010 750ml ,white,2010,0.13,干型
DOMAINE DE L AIGLE CHARDONNAY 2013 750ml ,6,CH-FR-B,France>South France>South France,Chardonnay_1,,莱格勒庄园莎当妮白葡萄酒,DOMAINE DE L AIGLE CHARDONNAY 2013 750ml ,white,2013,0.13,干型
DOMAINE PAQUET POUILLY FUISSE VIEILLES VIGNES 2012 750ml,7,CH-FR-B,France>Burgundy>Burgundy,Chardonnay_1,, 帕克特庄园普依福斯老藤白葡萄酒,DOMAINE PAQUET POUILLY FUISSE VIEILLES VIGNES 2012 750ml,white,2012,0.13,干型
"Roux Père & Fils, Chablis Blanc, AOP",8,CH-FR-B,France>Burgundy>Chablis,Chardonnay_1,,胡氏父子酒庄，夏布利白,"Roux Père & Fils, Chablis Blanc, AOP",White,2013,0.13,
Herve Kerlann Pouilly Fuisse,9,CH-FR-B,France>Pouilly Fuisse,,Chardonnay_1,柯澜酒庄普伊富赛霞多丽干白葡萄酒,Herve Kerlann Pouilly Fuisse,干白,2011,0.13,
Villars-Fontaine                  ,10,CH-FR-B,France >Hautes-Cotes de Nuits                 ,,chardonnay_1,枫丹城堡干白葡萄酒,Villars-Fontaine                  ,white,2001,0.13,
"William Fevre, Petit Chablis AOC",11,CH-FR-B,France>Burgundy>Petit Chablis AOC,,Chardonnay_1,"威廉费尔, 小夏布利AOC","William Fevre, Petit Chablis AOC",White Wine,2013,0.12,
"William Fevre, Chablis AOC(D)",12,CH-FR-B,France>Burgundy>Chablis AOC,,Chardonnay_1,"威廉费尔, 夏布利AOC","William Fevre, Chablis AOC(D)",White Wine,2013,0.125,
Great wall Desert Fox chardonnay,1,CHINA-CH-A,China>Ningxia>Yinchuan,Chardonnay_1,,长城沙狐霞多丽干白葡萄酒,Great wall Desert Fox chardonnay,dry   white  wine,2013,0.13,
"XIXIA KING
Dry white wine
Chardonnay",2,CHINA-CH-A,China>East Helan Mountain Wine Region>YuQuan Ying,,Chardonnay_1,西夏王玉泉国际酒庄霞多丽干白（佳品）,"XIXIA KING
Dry white wine
Chardonnay",干白,2013,0.115,2
XIXI KING Dry white wine Chardonnay,3,CHINA-CH-A,China>East Helan Mountain Wine Region>YuQuan Ying,,Chardonnay_1,西夏王玉泉国际酒庄霞多丽干白（典藏）,XIXI KING Dry white wine Chardonnay,干白,2012,0.115,2
Coldentimesfazenda Gold Period Chardonnay,4,CHINA-CH-A,China>Shandong>Yantai,,Chardonnay_1,金色时代生态小葡夏酝霞多丽干白葡萄酒,Coldentimesfazenda Gold Period Chardonnay,干型,2013,0.12,
Helan Mountain Special Reserve Chardonnay,7,CHINA-CH-B,China>Ningxia,Chardonnay_1,,贺兰山珍藏霞多丽,Helan Mountain Special Reserve Chardonnay,干白,2011,0.13,2.8
,8,CHINA-CH-B,China>Yantai>Penglai,,Chardonnay_1,瑞枫-奥塞斯酒庄窖藏霞多丽,,干型,2013,0.13,3.5g/L
Densiho Chardonnay ,5,CHINA-CH-B,China>Beijing>Fangshan,,Chardonnay_1,丹世红霞多丽干白葡萄酒,Densiho Chardonnay ,Dry white,2013,0.13,0.5
Chateau Hedong Selection Chardonnay,10,CHINA-CH-C,China>Ningxia>East Helan Mountain Wine Region,,Chardonnay_1,贺东庄园精选霞多丽干白,Chateau Hedong Selection Chardonnay,干型,2014,0.13,2.5
Chateau Hedong  Chardonnay,9,CHINA-CH-C,China>Ningxia>East Helan Mountain Wine Region,,Chardonnay_1,贺东庄园霞多丽干白,Chateau Hedong  Chardonnay,干型,2014,0.13,2.7
ZhenGe 2012,1,CHINA-CS-A,China>Ningxia>GanChengZi,Cabernet Sauvignon_0.9/Merlot_0.05/Cabernet Gernischt_0.05              ,,甄歌赤霞珠2012,ZhenGe 2012,干型,2012,0.13,4
He Yufour-star boutique red,2,CHINA-CS-A,China>Ningxia Helan Mountain,Cabernet Sauvignon_0.5/Cabernet Gernischt_0.5                ,,贺玉四星精品干红,He Yufour-star boutique red,干型,2012,0.133,
Cabernet Sauvignon,3,CHINA-CS-A,China>Ningxia>Helan Mountain,Cabernet Sauvignon_0.9                ,,紫尚手选赤霞珠干红葡萄酒,Cabernet Sauvignon,干型,2013,14.60,
Chateau Junding Oriental Red,6,CHINA-CS-A,China>Yantai>Penglai,Cabernet Sauvignon_0.8/Merlot_0.2                ,,君顶东方高级干红葡萄酒,Chateau Junding Oriental Red,干型,2012,0.132,4.8
Beitelan,7,CHINA-CS-A,China>Helan Mountain>GongSiBao Area,Cabernet Sauvignon_1                ,,贝特兰手选赤霞珠,Beitelan,干型,2012,0.13,
"GeLiya 2013cabernet sauvignon red wine, the language of flowers - quills grass ",8,CHINA-CS-A,China>East Helan Mountain Wine Region,,Cabernet Sauvignon_1,戈丽雅2013赤霞珠干红葡萄酒花之语-刺儿草,"GeLiya 2013cabernet sauvignon red wine, the language of flowers - quills grass ",果香型,2013,13.5,
